key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:inventor
invention-16,IN16-PIETA16,"<marquee>Prototype</marquee>","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv16,true,inventor-01

# description - standard variations
invention-17,IN17-RHO17,"Smart Sensor",A,2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv17,true,inventor-01
invention-18,IN18-SIGMA18,"Smart Sensor",AB,2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv18,true,inventor-01
invention-19,IN19-TAU19,"Smart Sensor","Short invention description",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv19,true,inventor-01
invention-20,IN20-UPSIL20,"Smart Sensor","Portable sensor platform for industrial monitoring",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv20,true,inventor-01
invention-21,IN21-PHI21,"Smart Sensor","Eco-friendly solution for sustainable material processing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv21,false,inventor-01
invention-22,IN22-CHI22,"Smart Sensor","โลเร็ม อิปซัม",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv22,false,inventor-01
invention-23,IN23-PSI23,"Smart Sensor","لوريم إيبسوم",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv23,true,inventor-01
invention-24,IN24-OMEGA24,"Smart Sensor","洛伦·伊普森",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv24,true,inventor-01
invention-25,IN25-ALPHA25,"Smart Sensor","Detailed description intended to exercise normal text length boundaries in the sample dataset",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv25,false,inventor-01
invention-26,IN26-BETA26,"Smart Sensor","<script>alert('test')</script>",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv26,false,inventor-01

# startMoment - standard variations
invention-27,IN27-GAMMA27,"Smart Sensor","Standard invention description for baseline testing",2030/01/01 00:00,2030/04/10 10:00,https://example.com/inv27,false,inventor-01
invention-28,IN28-DELTA28,"Smart Sensor","Standard invention description for baseline testing",2030/01/01 00:01,2030/04/10 10:00,https://example.com/inv28,false,inventor-01
invention-29,IN29-EPSIL29,"Smart Sensor","Standard invention description for baseline testing",2030/06/10 09:00,2030/09/10 09:00,https://example.com/inv29,false,inventor-01
invention-30,IN30-ZETA30,"Smart Sensor","Standard invention description for baseline testing",2031/01/15 08:30,2031/05/15 08:30,https://example.com/inv30,false,inventor-01

# endMoment - standard variations
invention-31,IN31-ETA31,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/01/10 10:01,https://example.com/inv31,false,inventor-01
invention-32,IN32-THETA32,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/02/10 10:00,https://example.com/inv32,false,inventor-01
invention-33,IN33-IOTA33,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/12/31 23:59,https://example.com/inv33,true,inventor-01
invention-34,IN34-KAPPA34,"Smart Sensor","Standard invention description for baseline testing",2031/03/01 09:00,2031/07/01 09:00,https://example.com/inv34,true,inventor-01

# moreInfo - standard variations
invention-35,IN35-LAMBD35,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,,true,inventor-02
invention-36,IN36-MUON36,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,http://example.com,true,inventor-02
invention-37,IN37-NUCLE37,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.org,true,inventor-02
invention-38,IN38-XIOME38,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,http://example.org/a,false,inventor-02
invention-39,IN39-OMICR39,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,http://example.org/a/b,false,inventor-02
invention-40,IN40-PIETA40,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,http://example.org?a=1,false,inventor-02
invention-41,IN41-RHO41,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,http://example.org?a=1&b=2,true,inventor-02
invention-42,IN42-SIGMA42,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,http://example.org/page.html#section,true,inventor-02

# draftMode - standard variations
invention-43,IN43-TAU43,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv43,false,inventor-02
invention-44,IN44-UPSIL44,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv44,true,inventor-02

# inventor - standard variations
invention-45,IN45-PHI45,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv45,true,inventor-01
invention-46,IN46-CHI46,"Smart Sensor","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv46,false,inventor-02

# extra single-attribute variations to reach 50
invention-47,IN47-PSI47,"Water Purifier Pro","Standard invention description for baseline testing",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv47,false,inventor-02
invention-48,IN48-OMEGA48,"Smart Sensor","Medical imaging support platform",2030/01/10 10:00,2030/04/10 10:00,https://example.com/inv48,false,inventor-02
invention-49,IN49-ALPHA49,"Smart Sensor","Standard invention description for baseline testing",2032/01/10 10:00,2032/04/10 10:00,https://example.com/inv49,true,inventor-02
